Source Name,dataset/num_u,Average encoder_text_rmse_all,StdDev encoder_text_rmse_all
runnables/train_coso.py,1,17.170454551999998,7.227298978120704
runnables/train_coso.py,3,19.236630657986296,5.2590229068722785
runnables/train_coso.py,5,17.597286336620115,7.489992582918162
runnables/train_coso.py,7,18.973098232046883,4.645226513927191
runnables/train_coso.py,9,18.973098232046883,4.645226513927191
runnables/train_enc_dec.py,1,18.2167405487,5.4472129392348805
runnables/train_enc_dec.py,3,21.53456100467408,6.610703531930911
runnables/train_enc_dec.py,5,19.246546969777576,5.925586058586186
runnables/train_enc_dec.py,7,19.73305515965792,5.750555670371914
runnables/train_enc_dec.py,9,21.234176531285236,6.575179165551312
runnables/train_gnet.py,1,19.8365683675,6.3194699236082394
runnables/train_gnet.py,3,20.575343888316024,5.9232241611666305
runnables/train_gnet.py,5,20.00096808061063,6.442417543130474
runnables/train_gnet.py,7,20.27794981460901,5.306481682945305
runnables/train_gnet.py,9,20.68521820132935,6.952197181077379
runnables/train_rmsn.py,1,31.42223397763067,9.877032842271177
runnables/train_rmsn.py,3,21.669098325031932,7.789848219752342
runnables/train_rmsn.py,5,27.740185522832075,11.250871169691576
runnables/train_rmsn.py,7,24.676961645260302,11.66410635542643
runnables/train_rmsn.py,9,23.67691039863218,7.211806064275063
